PERCENT_WAITING_OVER_THIRTY_MINUTES,CND_POLL_UUID,NAME,STATE,COUNTY_NAME,SLATED_FOR_CLOSURE_IN_GA
61.88520000000001,81b55784625d988c7774d6b401754c87,LEE HEADQUARTERS LIBRARY,GA,CLAYTON,False
12.121199999999998,926952402ddecc6b7a7344f8496b5084,BACON COUNTY ELECTIONS OFFICE,GA,BACON,False
18.309900000000006,7918303b65bdade26d375d620aa82d94,MADISON COUNTY BOARD OF ELECTIONS AND REGISTRATION,GA,MADISON,False
22.7273,352b915225314353ef40a35feb3e2251,AV-COAN RECREATION CENTER,GA,DEKALB,False
50.8772,8554c6669caaa84a72027d2a372d2cee,AA- ADAMS PARK LIBRARY,GA,FULTON,False
20.354,2c5b0b2f7e2c61880ff5d8912c71737e,ELECTION HQ,GA,MERIWETHER,False
55.3055,f2e9fe65d87043dc3369518e9a9c8b78,ATHENS-CLARKE COUNTY TENNIS CENTER,GA,CLARKE,False
54.8801,ad1ac690ca28fdab2017c8d5641237db,WATSON GOV'T COMPLEX,GA,PAULDING,False
13.614999999999998,09b6fb52237b376568bdf604f431dc9b,CEDARTOWN ELECTIONS OFFICE,GA,POLK,False
50.2283,96178fc771f15d0399a2a4155e66acae,736S- CHURCH AT CHAPEL HILL,GA,DOUGLAS,True
82.243,9436699c893db88d1fe90b73b0ea1763,PICKENS COUNTY BOARD OF ELECTIONS & REGISTRATION,GA,PICKENS,False
93.617,bfd58370d88cde295945e60fc8322458,PORTER MEMORIAL LIBRARY,GA,NEWTON,True
58.0357,024766d8f06aa448c56c0e1f93d7b862,AV-REID H. COFER LIBRARY,GA,DEKALB,False
42.8571,2140c6556f357967331c40a4fa8a90a5,AA - ATLANTA METROPOLITAN STATE COLLEGE,GA,FULTON,False
78.7736,5a2e69aeb448c93a3c41086ca3da4943,CANDY ROOM,GA,DOUGHERTY,False
18.5185,55fc36ace09c81f853a967cfc0605ece,REDBONE FIRE STATION #5,GA,LEE,True
43.7163,61629b20faa1ddacb7d0b31484d8629f,LOWNDES COUNTY ELECTIONS,GA,LOWNDES,False
10.1266,85a67290a16d1d9c5131429cc1b8f507,IRWIN COUNTY ELECTIONS OFFICE,GA,IRWIN,False
15.625,3d9400c2c14fbff2ca18421481a88790,DEARING COMMUNITY CENTER,GA,MCDUFFIE,False
36.1757,357bf29b82d90999c38deba924f37be9,BYRON MUNICIPAL COMPLEX,GA,PEACH,False
80.9243,1ca472316fe461d484d98b8cfa9bc836,DOUGLAS COUNTY COURTHOUSE,GA,DOUGLAS,False
26.4463,734e29f46a3b9c658c5f454366df89ca,SSI ADVANCED VOTING/FIRE STATION # 2,GA,GLYNN,False
15.6522,19e8e0fff4077052eb92ab227c635f19,BOARD OF ELECTIONS AND REGISTRAR,GA,APPLING,False
66.9377,845ce6e30f7f98e55fee1691a0acecd6,ELECTIONS OFFICE,GA,HENRY,False
76.0181,8a70502f89f044a223acf182fb3e3884,SOUTH CHEROKEE ANNEX REC CENTER,GA,CHEROKEE,False
44.9438,dcf5a03dad1e2b3b4057cbae464ad280,SOUTHEASTERN TECH SCHOOL,GA,TATTNALL,False
18.7755,d9e877cb286cb15d452f603674db5c5c,WARE COUNTY ADMINISTRATION BUILDING,GA,WARE,True
16.5266,4b7de54d6047a92162f916816d93c502,WINDERMERE LODGE,GA,FORSYTH,True
0.0,b14cdc414310c573378877c92e04575e,BAKER COUNTY COURTHOUSE,GA,BAKER,False
30.897,d5a6a4e746b79267f33f81744b30fc98,AA - METROPOLITAN LIBRARY,GA,FULTON,False
33.9679,4f7798f8f81ffd0b99f22178c82c7f39,SPOUT SPRINGS LIBRARY,GA,HALL,False
27.3585,fd1541deaa4e776d20e681ae768abec5,BOARD OF REGISTRARS,GA,WILKES,False
48.14810000000001,08e2758401a7e7074e50af7e111a567c,TWIGGSCOUNTY COURTHOUSE,GA,TWIGGS,False
50.0,dc22a78fcf29dbbc8af92164b04bd3e9,POOLER RECREATION PARK GYMNASIUM,GA,CHATHAM,True
60.1212,b58070e5b834fb0ec6b5f20c9f34005b,BOARD OF ELECTIONS ANNEX,GA,ROCKDALE,False
27.488200000000006,d7ae6cfdd9525987c4f143c437bed54c,FLOYD COUNTY HEALTH DEPARTMENT,GA,FLOYD,True
69.28979999999999,ef668363d762a2866aa3db3299461cf8,AA - SOUTH FULTON ANNEX,GA,FULTON,False
60.0,d3d3d8b7bbd5d450e911d50d22c49e44,AA - WOLF CREEK LIBRARY,GA,FULTON,False
18.9944,d9f30f86be631446d8c2bb5ca9677a69,ELECTIONS AND REGISTRATION,GA,CLAYTON,False
20.9877,36a617f2945dbd557ffc0d546f89b3d1,FIRST BAPTIST CHURCH OF CORNELIA,GA,HABERSHAM,False
55.75220000000001,fa4ec4b347caade637a0ab5f51b0d6fb,AA - CRABAPPLE NEIGHBORHOOD SENIOR CENTER,GA,FULTON,False
38.8626,4b52a93ed7d9b36e2a6fc3cb3b0dddc7,THERON USSERY PARK COMMUNITY/ RECREATION CENTER,GA,BIBB,False
17.5824,483ee736bc85c0045bdf23b521e602a6,MACON COUNTY ANNEX,GA,MACON,False
